CHEMBL3356065; 0.922; C[C@H]1CN(CCN1C(=O)CC1=CC=CC=C1)C1=C2C(C)=CNC2=NC=N1
CHEMBL4280523; 0.922; CN([C@H]1CN(CC11CC1)C(=O)NC1=CC=C(Cl)C(Cl)=C1)C1=C2C=CNC2=NC=N1
CHEMBL3715474; 0.920; CCC1CCCCN1C1=NC=NC2=C1C1=C(N2)C=CC(O)=C1
CHEMBL4285642; 0.919; CN([C@H]1CN(CC11CC1)C(=O)NC1=CC=C(Cl)C=C1Cl)C1=C2C=CNC2=NC=N1
CHEMBL570339; 0.919; CC1=CNC2=NC=NC(N3CCC(CC3)C(=O)NC3=CC=C(C)C=C3)=C12
CHEMBL568938; 0.918; CC1=CNC2=NC=NC(N3CCC(CC3)C(=O)NC3=CC(C)=CC=C3)=C12
CHEMBL4279402; 0.917; CN([C@H]1CN(CC11CC1)S(=O)(=O)N1CCCCC1)C1=C2C=CNC2=NC=N1
CHEMBL4277099; 0.915; CN([C@H]1CN(CC11CC1)C(=O)NC1=CC=CC(Cl)=C1Cl)C1=C2C=CNC2=NC=N1
CHEMBL4291528; 0.914; CN([C@H]1CN(CC11CC1)C(=O)NC1=CC(Cl)=CC=C1Cl)C1=C2C=CNC2=NC=N1
CHEMBL1630792; 0.914; C[C@@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)C1CC2=CC(Cl)=CC=C2O1
CHEMBL3717780; 0.911; CC1CCCCN1C1=NC=NC2=C1C1=C(N2)C=CC(O)=C1
CHEMBL3714915; 0.911; OC1=CC2=C(NC3=C2C(=NC=N3)N2CCCCCC2)C=C1
CHEMBL3718539; 0.910; OC1=CC2=C(NC3=C2C(=NC=N3)N2CCCCC2)C=C1
CHEMBL3718552; 0.910; CC1CCCN(C1)C1=NC=NC2=C1C1=C(N2)C=CC(O)=C1
CHEMBL4229278; 0.910; CC(C)COC(=O)N1CC[C@H](C1)N(C)C1=C2C=CNC2=NC=N1
CHEMBL312503; 0.908; CC1=C(C)C2=C(N[C@@H]3CCCCNC3=O)N=C(N=C2N1)C1=CC=CC=C1
CHEMBL3714792; 0.908; CC1CC(C)CN(C1)C1=NC=NC2=C1C1=C(N2)C=CC(O)=C1
