ChemblID;Score;Smile;ROMol;tanimoto_maccs;dice_maccs;tanimoto_morgan;dice_morgan
CHEMBL4287238;0.993; CN([C@H]1CN(CC11CC1)C(=O)C1CCN(CC1)C(C)=O)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeaccf0>;0.8135593220338984;0.897196261682243;0.47368421052631576;0.6428571428571429
CHEMBL4074183;0.993; C[C@H]1C[C@H](CN(C1)C(=O)C=C)NC1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeacd50>;0.7166666666666667;0.8349514563106796;0.35526315789473684;0.5242718446601942
CHEMBL4288323;0.993; CN([C@H]1CN(CC11CC1)C(=O)C1CC1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeacdb0>;0.8070175438596491;0.8932038834951457;0.4722222222222222;0.6415094339622641
CHEMBL3689517;0.993; FC1(F)CN(C(=O)CC#N)C11CCCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeace10>;0.746031746031746;0.8545454545454545;0.4230769230769231;0.5945945945945946
CHEMBL3693626;0.993; CC(C)C(=O)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeace70>;0.7758620689655172;0.8737864077669902;0.2962962962962963;0.45714285714285713
CHEMBL4280418;0.993; CC(C)C(=O)N1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeaced0>;0.7796610169491526;0.8761904761904762;0.4722222222222222;0.6415094339622641
CHEMBL4064018;0.992; C=CC(=O)N1CC[C@H]2CCN([C@H]2C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeacf30>;0.7543859649122807;0.86;0.3684210526315789;0.5384615384615384
CHEMBL4095629;0.992; C\\C=C\\C(=O)N1CCC[C@H](C1)NC1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeacf90>;0.7333333333333333;0.8461538461538461;0.3815789473684211;0.5523809523809524
CHEMBL4285014;0.992; CC(C)CC(=O)N1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1030>;0.8305084745762712;0.9074074074074074;0.47297297297297297;0.6422018348623854
CHEMBL3689531;0.991; CC1CC2(CCCN2C(=O)CC#N)CN1C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1090>;0.8771929824561403;0.9345794392523364;0.44871794871794873;0.6194690265486725
CHEMBL4068357;0.991; C[C@@H]1CCN(C[C@@H]1N(C)C1=C2C=CNC2=NC=N1)C(=O)N1CCCC1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb10f0>;0.875;0.9333333333333333;0.7213114754098361;0.8380952380952381
CHEMBL3693602;0.99; FC1(F)CCN(C(=O)CC#N)C11CCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1150>;0.7540983606557377;0.8598130841121495;0.41025641025641024;0.5818181818181818
CHEMBL3689516;0.989; FC1(F)CN(C(=O)CC#N)C11CCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb11b0>;0.7301587301587301;0.8440366972477065;0.4342105263157895;0.6055045871559633
CHEMBL4291735;0.989; CNC(=O)CC(=O)N1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1210>;0.7903225806451613;0.8828828828828829;0.47297297297297297;0.6422018348623854
CHEMBL4225530;0.989; CC(C)CC(=O)N1CC[C@H](C1)N(C)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1330>;0.8928571428571429;0.9433962264150944;0.582089552238806;0.7358490566037735
CHEMBL4283881;0.988; CN([C@H]1CN(CC11CC1)C(=O)CNC(C)=O)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb13f0>;0.7619047619047619;0.8648648648648649;0.4666666666666667;0.6363636363636364
CHEMBL4287529;0.988; CCCCN1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1450>;0.7586206896551724;0.8627450980392157;0.4;0.5714285714285714
CHEMBL3689535;0.986; CC1CCN(C(=O)CC#N)C11CN(CC1(F)F)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1570>;0.819672131147541;0.9009009009009009;0.46153846153846156;0.631578947368421
CHEMBL3689520;0.986; CN(CCC#N)C(=O)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb15d0>;0.8135593220338984;0.897196261682243;0.3855421686746988;0.5565217391304348
CHEMBL4283095;0.985; CCN1C[C@H](N(C)C2=C3C=CNC3=NC=N2)C2(CC2)C1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1690>;0.7241379310344828;0.84;0.4225352112676056;0.594059405940594
CHEMBL1630799;0.985; CC1CCN(CC1N(C)C1=C2C=CNC2=NC=N1)C(=O)CS(C)(=O)=O;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1750>;0.7464788732394366;0.8548387096774194;0.746031746031746;0.8545454545454545
CHEMBL4639731;0.984; O=C(CC#N)N1CCC2(CCN(C2)C2=C3C=CNC3=NC=N2)C1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1870>;0.7894736842105263;0.8823529411764706;0.4722222222222222;0.6415094339622641
CHEMBL3693598;0.983; CC(=O)OCC(=O)N1CCCC11CCCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1930>;0.7121212121212122;0.831858407079646;0.3132530120481928;0.47706422018348627
CHEMBL3693609;0.982; CN(CC#N)C(=O)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1990>;0.7966101694915254;0.8867924528301887;0.38271604938271603;0.5535714285714286
CHEMBL4225201;0.982; CN([C@@H]1CCN(CCC#N)C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb19f0>;0.7962962962962963;0.8865979381443299;0.5294117647058824;0.6923076923076923
CHEMBL4225197;0.982; CCCCN1CC[C@H](C1)N(C)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1a50>;0.8;0.8888888888888888;0.45714285714285713;0.6274509803921569
CHEMBL4292871;0.981; CN([C@H]1CN(CC11CC1)C(=O)CN=[N+]=[N-])C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1ab0>;0.7384615384615385;0.8495575221238938;0.44871794871794873;0.6194690265486725
CHEMBL3693614;0.981; COC(=O)CCC(=O)N1CCCC11CCN(C1)C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1b10>;0.7619047619047619;0.8648648648648649;0.30952380952380953;0.4727272727272727
CHEMBL4225471;0.978; CN([C@@H]1CCN(C1)C(=O)C=N[NH+]=[N-])C1=C2C=CNC2=NC=N1;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1b70>;0.7076923076923077;0.8288288288288288;0.4864864864864865;0.6545454545454545
CHEMBL1630793;0.978; CC1CCN(CC1N(C)C1=C2C=CNC2=NC=N1)C(=O)C1CCN(CC2=CC=CC=C2)C1=O;<rdkit.Chem.rdchem.Mol object at 0x7f5acfeb1bd0>;0.8813559322033898;0.9369369369369369;0.6216216216216216;0.7666666666666667
